ID,Metric - Number of projections,Metric - Number of tables,Metric - Number of aggregation functions,Metric - Number of selections,Metric - Common projections number,Metric - Common selections number,Metric - Common aggregation functions number,Metric - Common tables number
229,2.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0
230,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0
231,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0
232,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
233,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0
234,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0
235,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
236,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0
237,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0
238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
239,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
240,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
241,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
242,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
243,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
244,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
245,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
246,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0
247,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0
248,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
249,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
250,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
251,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
252,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
253,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
254,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
255,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
256,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0
257,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
258,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
259,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
260,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0
261,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
262,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0
263,1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0
264,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
265,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
266,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
267,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
268,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
269,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
270,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
271,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
272,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0
273,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
274,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0
275,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
276,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0
277,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
278,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
279,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
280,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
281,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
282,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
283,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
284,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
285,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
286,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
287,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
288,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
289,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
290,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
291,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
292,6.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0
293,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
294,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
295,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
296,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
297,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
298,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
299,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
300,99.0,1.0,0.0,0.0,99.0,0.0,0.0,1.0
301,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
302,50.0,1.0,49.0,0.0,0.0,0.0,0.0,1.0
303,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
304,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
305,3.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0
306,3.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0
307,3.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0
308,3.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0
309,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
310,99.0,1.0,0.0,0.0,99.0,0.0,0.0,1.0
311,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
312,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0
313,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
314,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
315,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0
316,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
317,12.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0
